year,category,laureate,organization,motivation,portion,prize_amount,prize_amount_adjusted,date_awarded
1971,Physics,Dennis Gabor,,for his invention and development of the holographic method,1,450000,4200591,1971-11-02
1971,Physiology or Medicine,"Earl W. Sutherland, Jr.",,for his discoveries concerning the mechanisms of the action of hormones,1,450000,4200591,1971-10-14
1972,Chemistry,Christian Anfinsen,,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",1/2,480000,4230781,1972-10-20
1972,Chemistry,Stanford Moore,,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,1/4,480000,4230781,1972-10-20
1972,Chemistry,William H. Stein,,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,1/4,480000,4230781,1972-10-20
1972,Economic Sciences,John R. Hicks,,for their pioneering contributions to general economic equilibrium theory and welfare theory,1/2,480000,4230781,1972-10-25
1972,Economic Sciences,Kenneth J. Arrow,,for their pioneering contributions to general economic equilibrium theory and welfare theory,1/2,480000,4230781,1972-10-25
1972,Literature,Heinrich Böll,,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,1,480000,4230781,1972-10-19
1972,Physics,John Bardeen,,"for their jointly developed theory of superconductivity, usually called the BCS-theory",1/3,480000,4230781,1972-10-20
1972,Physics,Leon N. Cooper,,"for their jointly developed theory of superconductivity, usually called the BCS-theory",1/3,480000,4230781,1972-10-20
1972,Physics,Robert Schrieffer,,"for their jointly developed theory of superconductivity, usually called the BCS-theory",1/3,480000,4230781,1972-10-20
1972,Physiology or Medicine,Gerald M. Edelman,,for their discoveries concerning the chemical structure of antibodies,1/2,480000,4230781,1972-10-12
1972,Physiology or Medicine,Rodney R. Porter,,for their discoveries concerning the chemical structure of antibodies,1/2,480000,4230781,1972-10-12
1973,Chemistry,Ernst Otto Fischer,,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",1/2,510000,4213275,1973-10-23
1973,Chemistry,Geoffrey Wilkinson,,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",1/2,510000,4213275,1973-10-23
1973,Economic Sciences,Wassily Leontief,,for the development of the input-output method and for its application to important economic problems,1,510000,4213275,1973-10-18
1973,Literature,Patrick White,,for an epic and psychological narrative art which has introduced a new continent into literature,1,510000,4213275,1973-10-25
1973,Peace,Henry Kissinger,,for jointly having negotiated a cease fire in Vietnam in 1973,1/2,510000,4213275,1973-10-17
1973,Peace,Le Duc Tho ,,for jointly having negotiated a cease fire in Vietnam in 1973,1/2,510000,4213275,1973-10-17
1973,Physics,Leo Esaki,,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",1/4,510000,4213275,1973-10-23
1973,Physics,Ivar Giaever,,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",1/4,510000,4213275,1973-10-23
1973,Physics,Brian D. Josephson,,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",1/2,510000,4213275,1973-10-23
1973,Physiology or Medicine,Karl von Frisch,,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,1/3,510000,4213275,1973-10-11
1973,Physiology or Medicine,Konrad Lorenz,,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,1/3,510000,4213275,1973-10-11
1973,Physiology or Medicine,Nikolaas Tinbergen,,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,1/3,510000,4213275,1973-10-11
1974,Chemistry,Paul J. Flory,,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",1,550000,4126741,1974-10-15
1974,Economic Sciences,Gunnar Myrdal,,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",1/2,550000,4126741,1974-10-09
1974,Economic Sciences,Friedrich von Hayek,,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",1/2,550000,4126741,1974-10-09
1974,Literature,Eyvind Johnson,,"for a narrative art, far-seeing in lands and ages, in the service of freedom",1/2,550000,4126741,1974-10-03
1974,Literature,Harry Martinson,,for writings that catch the dewdrop and reflect the cosmos,1/2,550000,4126741,1974-10-03
1974,Peace,Seán MacBride,,for his efforts to secure and develop human rights throughout the world,1/2,550000,4126741,1974-10-09
1974,Peace,Eisaku Satō,,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,1/2,550000,4126741,1974-10-09
1974,Physics,Martin Ryle,,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",1/2,550000,4126741,1974-10-15
1974,Physics,Antony Hewish,,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",1/2,550000,4126741,1974-10-15
1974,Physiology or Medicine,Albert Claude,,for their discoveries concerning the structural and functional organization of the cell,1/3,550000,4126741,1974-10-10
1974,Physiology or Medicine,Christian de Duve,,for their discoveries concerning the structural and functional organization of the cell,1/3,550000,4126741,1974-10-10
1974,Physiology or Medicine,George E. Palade,,for their discoveries concerning the structural and functional organization of the cell,1/3,550000,4126741,1974-10-10
1975,Chemistry,John Cornforth,,for his work on the stereochemistry of enzyme-catalyzed reactions,1/2,630000,4304697,1975-10-17
1975,Chemistry,Vladimir Prelog,,for his research into the stereochemistry of organic molecules and reactions,1/2,630000,4304697,1975-10-17
1975,Economic Sciences,Leonid Vitaliyevich Kantorovich,,for their contributions to the theory of optimum allocation of resources,1/2,630000,4304697,1975-10-14
1975,Economic Sciences,Tjalling C. Koopmans,,for their contributions to the theory of optimum allocation of resources,1/2,630000,4304697,1975-10-14
1975,Literature,Eugenio Montale,,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",1,630000,4304697,1975-10-23
1975,Peace,Andrei Sakharov,,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",1,630000,4304697,1975-10-09
1975,Physics,Aage N. Bohr,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1/3,630000,4304697,1975-10-17
1975,Physics,Ben R. Mottelson,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1/3,630000,4304697,1975-10-17
1975,Physics,James Rainwater,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1/3,630000,4304697,1975-10-17
1975,Physiology or Medicine,David Baltimore,,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,1/3,630000,4304697,1975-10-16
1975,Physiology or Medicine,Renato Dulbecco,,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,1/3,630000,4304697,1975-10-16
1975,Physiology or Medicine,Howard M. Temin,,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,1/3,630000,4304697,1975-10-16
1976,Chemistry,William Lipscomb,,for his studies on the structure of boranes illuminating problems of chemical bonding,1,681000,4226835,1976-10-18
1976,Economic Sciences,Milton Friedman,,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",1,681000,4226835,1976-10-14
1976,Literature,Saul Bellow,,for the human understanding and subtle analysis of contemporary culture that are combined in his work,1,681000,4226835,1976-10-21
1976,Peace,Betty Williams,,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,1/2,681000,4226835,1977-10-10
1976,Peace,Mairead Corrigan,,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,1/2,681000,4226835,1977-10-10
1976,Physics,Burton Richter,,for their pioneering work in the discovery of a heavy elementary particle of a new kind,1/2,681000,4226835,1976-10-18
1976,Physics,Samuel C.C. Ting,,for their pioneering work in the discovery of a heavy elementary particle of a new kind,1/2,681000,4226835,1976-10-18
1976,Physiology or Medicine,Baruch S. Blumberg,,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,1/2,681000,4226835,1976-10-14
1976,Physiology or Medicine,D. Carleton Gajdusek,,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,1/2,681000,4226835,1976-10-14
1977,Chemistry,Ilya Prigogine,,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",1,700000,3896009,1977-10-11
1977,Economic Sciences,Bertil Ohlin,,for their pathbreaking contribution to the theory of international trade and international capital movements,1/2,700000,3896009,1977-10-14
1977,Economic Sciences,James E. Meade,,for their pathbreaking contribution to the theory of international trade and international capital movements,1/2,700000,3896009,1977-10-14
1977,Literature,Vicente Aleixandre,,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",1,700000,3896009,1977-10-06
1977,Peace,,,for worldwide respect for human rights,1,700000,3896009,1977-10-10
1977,Physics,Philip W. Anderson,,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,1/3,700000,3896009,1977-10-11
1977,Physics,Sir Nevill F. Mott,,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,1/3,700000,3896009,1977-10-11
1977,Physics,John H. Van Vleck,,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,1/3,700000,3896009,1977-10-11
1977,Physiology or Medicine,Roger Guillemin,,for their discoveries concerning the peptide hormone production of the brain,1/4,700000,3896009,1977-10-13
1977,Physiology or Medicine,Andrew V. Schally,,for their discoveries concerning the peptide hormone production of the brain,1/4,700000,3896009,1977-10-13
1977,Physiology or Medicine,Rosalyn Yalow,,for the development of radioimmunoassays of peptide hormones,1/2,700000,3896009,1977-10-13
1978,Chemistry,Peter Mitchell,,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,1,725000,3665192,1978-10-17
1978,Economic Sciences,Herbert Simon,,for his pioneering research into the decision-making process within economic organizations,1,725000,3665192,1978-10-16
1978,Literature,Isaac Bashevis Singer,,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",1,725000,3665192,1978-10-05
1978,Peace,Anwar al-Sadat,,for jointly having negotiated peace between Egypt and Israel in 1978,1/2,725000,3665192,1978-10-27
1978,Peace,Menachem Begin,,for jointly having negotiated peace between Egypt and Israel in 1978,1/2,725000,3665192,1978-10-27
1978,Physics,Pyotr Kapitsa,,for his basic inventions and discoveries in the area of low-temperature physics,1/2,725000,3665192,1978-10-17
1978,Physics,Arno Penzias,,for their discovery of cosmic microwave background radiation,1/4,725000,3665192,1978-10-17
1978,Physics,Robert Woodrow Wilson,,for their discovery of cosmic microwave background radiation,1/4,725000,3665192,1978-10-17
1978,Physiology or Medicine,Werner Arber,,for the discovery of restriction enzymes and their application to problems of molecular genetics,1/3,725000,3665192,1978-10-12
1978,Physiology or Medicine,Daniel Nathans,,for the discovery of restriction enzymes and their application to problems of molecular genetics,1/3,725000,3665192,1978-10-12
1978,Physiology or Medicine,Hamilton O. Smith,,for the discovery of restriction enzymes and their application to problems of molecular genetics,1/3,725000,3665192,1978-10-12
1979,Chemistry,Herbert C. Brown,,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",1/2,800000,3778486,1979-10-15
1979,Chemistry,Georg Wittig,,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",1/2,800000,3778486,1979-10-15
1979,Economic Sciences,Theodore W. Schultz,,for their pioneering research into economic development research with particular consideration of the problems of developing countries,1/2,800000,3778486,1979-10-16
1979,Economic Sciences,Sir Arthur Lewis,,for their pioneering research into economic development research with particular consideration of the problems of developing countries,1/2,800000,3778486,1979-10-16
1979,Literature,Odysseus Elytis,,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",1,800000,3778486,1979-10-18
1979,Peace,Mother Teresa,,for her work for bringing help to suffering humanity,1,800000,3778486,1979-10-27
1979,Physics,Sheldon Glashow,,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3,800000,3778486,1979-10-15
1979,Physics,Abdus Salam,,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3,800000,3778486,1979-10-15
1979,Physics,Steven Weinberg,,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3,800000,3778486,1979-10-15
1979,Physiology or Medicine,Allan M. Cormack,,for the development of computer assisted tomography,1/2,800000,3778486,1979-10-11
1979,Physiology or Medicine,Godfrey N. Hounsfield,,for the development of computer assisted tomography,1/2,800000,3778486,1979-10-11
1980,Chemistry,Paul Berg,,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",1/2,880000,3654081,1980-10-14
1980,Chemistry,Walter Gilbert,,for their contributions concerning the determination of base sequences in nucleic acids,1/4,880000,3654081,1980-10-14
1980,Chemistry,Frederick Sanger,,for their contributions concerning the determination of base sequences in nucleic acids,1/4,880000,3654081,1980-10-14
1980,Economic Sciences,Lawrence R. Klein,,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,1,880000,3654081,1980-10-15
1980,Literature,Czesław Miłosz,,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,1,880000,3654081,1980-10-09
1980,Peace,Adolfo Pérez Esquivel,,"for being a source of inspiration to repressed people, especially in Latin America",1,880000,3654081,1980-10-27
1980,Physics,James Cronin,,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,1/2,880000,3654081,1980-10-14
1980,Physics,Val Fitch,,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,1/2,880000,3654081,1980-10-14
1980,Physiology or Medicine,Baruj Benacerraf,,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3,880000,3654081,1980-10-10
1980,Physiology or Medicine,Jean Dausset,,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3,880000,3654081,1980-10-10
1980,Physiology or Medicine,George D. Snell,,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3,880000,3654081,1980-10-10
1981,Chemistry,Kenichi Fukui,,"for their theories, developed independently, concerning the course of chemical reactions",1/2,1000000,3704688,1981-10-19
1981,Chemistry,Roald Hoffmann,,"for their theories, developed independently, concerning the course of chemical reactions",1/2,1000000,3704688,1981-10-19
1981,Economic Sciences,James Tobin,,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",1,1000000,3704688,1981-10-13
1981,Literature,Elias Canetti,,"for writings marked by a broad outlook, a wealth of ideas and artistic power",1,1000000,3704688,1981-10-15
1981,Peace,,,for promoting the fundamental rights of refugees,1,1000000,3704688,1981-10-14
1981,Physics,Nicolaas Bloembergen,,for their contribution to the development of laser spectroscopy,1/4,1000000,3704688,1981-10-19
1981,Physics,Arthur L. Schawlow,,for their contribution to the development of laser spectroscopy,1/4,1000000,3704688,1981-10-19
1981,Physics,Kai M. Siegbahn,,for his contribution to the development of high-resolution electron spectroscopy,1/2,1000000,3704688,1981-10-19
1981,Physiology or Medicine,Roger W. Sperry,,for his discoveries concerning the functional specialization of the cerebral hemispheres,1/2,1000000,3704688,1981-10-09
1981,Physiology or Medicine,David H. Hubel,,for their discoveries concerning information processing in the visual system,1/4,1000000,3704688,1981-10-09
1981,Physiology or Medicine,Torsten N. Wiesel,,for their discoveries concerning information processing in the visual system,1/4,1000000,3704688,1981-10-09
1982,Chemistry,Aaron Klug,,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1,1150000,3923237,1982-10-18
1982,Economic Sciences,George J. Stigler,,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",1,1150000,3923237,1982-10-20
1982,Literature,Gabriel García Márquez,,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",1,1150000,3923237,1982-10-21
1982,Peace,Alva Myrdal,,for their work for disarmament and nuclear and weapon-free zones,1/2,1150000,3923237,1982-10-13
1982,Peace,Alfonso García Robles,,for their work for disarmament and nuclear and weapon-free zones,1/2,1150000,3923237,1982-10-13
1982,Physics,Kenneth G. Wilson,,for his theory for critical phenomena in connection with phase transitions,1,1150000,3923237,1982-10-18
1982,Physiology or Medicine,Sune K. Bergström,,for their discoveries concerning prostaglandins and related biologically active substances,1/3,1150000,3923237,1982-10-11
1982,Physiology or Medicine,Bengt I. Samuelsson,,for their discoveries concerning prostaglandins and related biologically active substances,1/3,1150000,3923237,1982-10-11
1982,Physiology or Medicine,John R. Vane,,for their discoveries concerning prostaglandins and related biologically active substances,1/3,1150000,3923237,1982-10-11
1983,Chemistry,Henry Taube,,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",1,1500000,4698151,1983-10-19
1983,Economic Sciences,Gerard Debreu,,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,1,1500000,4698151,1983-10-17
1983,Literature,William Golding,,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",1,1500000,4698151,1983-10-27
1983,Peace,Lech Wałęsa,,for non-violent struggle for free trade unions and human rights in Poland,1,1500000,4698151,1983-10-05
1983,Physics,Subrahmanyan Chandrasekhar,,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,1/2,1500000,4698151,1983-10-19
1983,Physics,William A. Fowler,,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,1/2,1500000,4698151,1983-10-19
1983,Physiology or Medicine,Barbara McClintock,,for her discovery of mobile genetic elements,1,1500000,4698151,1983-10-10
1984,Chemistry,Bruce Merrifield,,for his development of methodology for chemical synthesis on a solid matrix,1,1650000,4782579,1984-10-17
1984,Economic Sciences,Richard Stone,,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,1,1650000,4782579,1984-10-18
1984,Literature,Jaroslav Seifert,,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",1,1650000,4782579,1984-11-27
1984,Peace,Desmond Tutu,,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,1,1650000,4782579,1984-10-05
1984,Physics,Carlo Rubbia,,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2,1650000,4782579,1984-10-17
1984,Physics,Simon van der Meer,,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2,1650000,4782579,1984-10-17
1984,Physiology or Medicine,Niels K. Jerne,,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3,1650000,4782579,1984-10-15
1984,Physiology or Medicine,Georges J.F. Köhler,,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3,1650000,4782579,1984-10-15
1984,Physiology or Medicine,César Milstein,,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3,1650000,4782579,1984-10-15
1985,Chemistry,Herbert A. Hauptman,,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1/2,1800000,4860820,1985-10-16
1985,Chemistry,Jerome Karle,,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1/2,1800000,4860820,1985-10-16
1985,Economic Sciences,Franco Modigliani,,for his pioneering analyses of saving and of financial markets,1,1800000,4860820,1985-10-15
1985,Literature,Claude Simon,,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,1,1800000,4860820,1985-11-27
1985,Peace,,,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,1,1800000,4860820,1985-10-05
1985,Physics,Klaus von Klitzing,,for the discovery of the quantized Hall effect,1,1800000,4860820,1985-10-16
1985,Physiology or Medicine,Michael S. Brown,,for their discoveries concerning the regulation of cholesterol metabolism,1/2,1800000,4860820,1985-10-14
1985,Physiology or Medicine,Joseph L. Goldstein,,for their discoveries concerning the regulation of cholesterol metabolism,1/2,1800000,4860820,1985-10-14
1986,Chemistry,Dudley R. Herschbach,,for their contributions concerning the dynamics of chemical elementary processes,1/3,2000000,5182514,1986-10-15
1986,Chemistry,Yuan T. Lee,,for their contributions concerning the dynamics of chemical elementary processes,1/3,2000000,5182514,1986-10-15
1986,Chemistry,John C. Polanyi,,for their contributions concerning the dynamics of chemical elementary processes,1/3,2000000,5182514,1986-10-15
1986,Economic Sciences,James M. Buchanan Jr.,,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,1,2000000,5182514,1986-10-16
1986,Literature,Wole Soyinka,,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,1,2000000,5182514,1986-10-16
1986,Peace,Elie Wiesel,,"for being a messenger to mankind: his message is one of peace, atonement and dignity",1,2000000,5182514,1986-10-14
1986,Physics,Ernst Ruska,,"for his fundamental work in electron optics, and for the design of the first electron microscope",1/2,2000000,5182514,1986-10-15
1986,Physics,Gerd Binnig,,for their design of the scanning tunneling microscope,1/4,2000000,5182514,1986-10-15
1986,Physics,Heinrich Rohrer,,for their design of the scanning tunneling microscope,1/4,2000000,5182514,1986-10-15
1986,Physiology or Medicine,Stanley Cohen,,for their discoveries of growth factors,1/2,2000000,5182514,1986-10-13
1986,Physiology or Medicine,Rita Levi-Montalcini,,for their discoveries of growth factors,1/2,2000000,5182514,1986-10-13
1987,Chemistry,Donald J. Cram,,for their development and use of molecules with structure-specific interactions of high selectivity,1/3,2175000,5405582,1987-10-14
1987,Chemistry,Jean-Marie Lehn,,for their development and use of molecules with structure-specific interactions of high selectivity,1/3,2175000,5405582,1987-10-14
1987,Chemistry,Charles J. Pedersen,,for their development and use of molecules with structure-specific interactions of high selectivity,1/3,2175000,5405582,1987-10-14
1987,Economic Sciences,Robert M. Solow,,for his contributions to the theory of economic growth,1,2175000,5405582,1987-10-21
1987,Literature,Joseph Brodsky,,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",1,2175000,5405582,1987-10-22
1987,Peace,Oscar Arias Sánchez,,for his work for lasting peace in Central America,1,2175000,5405582,1987-10-13
1987,Physics,J. Georg Bednorz,,for their important break-through in the discovery of superconductivity in ceramic materials,1/2,2175000,5405582,1987-10-14
1987,Physics,K. Alex Müller,,for their important break-through in the discovery of superconductivity in ceramic materials,1/2,2175000,5405582,1987-10-14
1987,Physiology or Medicine,Susumu Tonegawa,,for his discovery of the genetic principle for generation of antibody diversity,1,2175000,5405582,1987-10-12
1988,Chemistry,Johann Deisenhofer,,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3,2500000,5874628,1988-10-19
1988,Chemistry,Robert Huber,,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3,2500000,5874628,1988-10-19
1988,Chemistry,Hartmut Michel,,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3,2500000,5874628,1988-10-19
1988,Economic Sciences,Maurice Allais,,for his pioneering contributions to the theory of markets and efficient utilization of resources,1,2500000,5874628,1988-10-18
1988,Literature,Naguib Mahfouz,,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",1,2500000,5874628,1988-10-13
1988,Peace,,,for preventing armed clashes and creating conditions for negotiations,1,2500000,5874628,1988-09-29
1988,Physics,Leon M. Lederman,,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3,2500000,5874628,1988-10-19
1988,Physics,Melvin Schwartz,,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3,2500000,5874628,1988-10-19
1988,Physics,Jack Steinberger,,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3,2500000,5874628,1988-10-19
1988,Physiology or Medicine,Sir James W. Black,,for their discoveries of important principles for drug treatment,1/3,2500000,5874628,1988-10-17
1988,Physiology or Medicine,Gertrude B. Elion,,for their discoveries of important principles for drug treatment,1/3,2500000,5874628,1988-10-17
1988,Physiology or Medicine,George H. Hitchings,,for their discoveries of important principles for drug treatment,1/3,2500000,5874628,1988-10-17
1989,Chemistry,Sidney Altman,,for their discovery of catalytic properties of RNA,1/2,3000000,6629077,1989-10-12
1989,Chemistry,Thomas R. Cech,,for their discovery of catalytic properties of RNA,1/2,3000000,6629077,1989-10-12
1989,Economic Sciences,Trygve Haavelmo,,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,1,3000000,6629077,1989-10-11
1989,Literature,Camilo José Cela,,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",1,3000000,6629077,1989-10-09
1989,Peace,The 14th Dalai Lama,,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,1,3000000,6629077,1989-10-05
1989,Physics,Norman F. Ramsey,,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,1/2,3000000,6629077,1989-10-12
1989,Physics,Hans G. Dehmelt,,for the development of the ion trap technique,1/4,3000000,6629077,1989-10-12
1989,Physics,Wolfgang Paul,,for the development of the ion trap technique,1/4,3000000,6629077,1989-10-12
1989,Physiology or Medicine,J. Michael Bishop,,for their discovery of the cellular origin of retroviral oncogenes,1/2,3000000,6629077,1989-10-09
1989,Physiology or Medicine,Harold E. Varmus,,for their discovery of the cellular origin of retroviral oncogenes,1/2,3000000,6629077,1989-10-09
1990,Chemistry,Elias James Corey,,for his development of the theory and methodology of organic synthesis,1,4000000,8003376,1990-10-17
1990,Economic Sciences,Harry M. Markowitz,,for their pioneering work in the theory of financial economics,1/3,4000000,8003376,1990-10-16
1990,Economic Sciences,Merton H. Miller,,for their pioneering work in the theory of financial economics,1/3,4000000,8003376,1990-10-16
1990,Economic Sciences,William F. Sharpe,,for their pioneering work in the theory of financial economics,1/3,4000000,8003376,1990-10-16
1990,Literature,Octavio Paz,,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",1,4000000,8003376,1990-10-11
1990,Peace,Mikhail Gorbachev,,for the leading role he played in the radical changes in East-West relations,1,4000000,8003376,1990-10-15
1990,Physics,Jerome I. Friedman,,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,4000000,8003376,1990-10-17
1990,Physics,Henry W. Kendall,,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,4000000,8003376,1990-10-17
1990,Physics,Richard E. Taylor,,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,4000000,8003376,1990-10-17
1990,Physiology or Medicine,Joseph E. Murray,,for their discoveries concerning organ and cell transplantation in the treatment of human disease,1/2,4000000,8003376,1990-10-08
1990,Physiology or Medicine,E. Donnall Thomas,,for their discoveries concerning organ and cell transplantation in the treatment of human disease,1/2,4000000,8003376,1990-10-08
1991,Chemistry,Richard R. Ernst,,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,1,6000000,10968389,1991-10-16
1991,Economic Sciences,Ronald H. Coase,,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,1,6000000,10968389,1991-10-15
1991,Literature,Nadine Gordimer,,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,1,6000000,10968389,1991-10-03
1991,Peace,Aung San Suu Kyi,,for her non-violent struggle for democracy and human rights,1,6000000,10968389,1991-10-14
1991,Physics,Pierre-Gilles de Gennes,,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",1,6000000,10968389,1991-10-16
